country,year,population,gdp_per_capita,households_expenditure_per_capita,cost_healthy_diet,Yearly_cost_healthy_diet
Honduras                        ,2018,9587523.0,2510.3,2023.5,3.415,1229.4
Honduras                        ,2019,9746115.0,2574.4,2110.2,3.404,1225.4
Honduras                        ,2020,9904608.0,2405.7,1963.6,3.486,1255.0
Hungary                         ,2017,9787966.0,14623.7,7326.7,3.302,1188.7
Hungary                         ,2018,9775564.0,16427.4,8091.4,3.383,1217.9
Hungary                         ,2019,9771141.0,16735.7,8263.0,3.368,1212.5
Hungary                         ,2020,9750149.0,16076.0,7975.3,3.488,1255.7
Iceland                         ,2017,343400.0,54367.0125,22204.025,2.213,796.7
Iceland                         ,2018,352721.0,54367.0125,22204.025,2.247,808.9
Iceland                         ,2019,360563.0,54367.0125,22204.025,2.234,804.2
Iceland                         ,2020,366463.0,54367.0125,22204.025,2.414,869.0
India                           ,2017,74168669.625,1980.7,1163.1,2.824,1016.6
India                           ,2018,74168669.625,1998.3,1184.7,2.83,1018.8
India                           ,2019,74168669.625,2072.2,1263.2,2.877,1035.7
India                           ,2020,74168669.625,1933.1,1174.7,2.97,1069.2
Indonesia                       ,2017,74168669.625,3837.6,2198.0,4.129,1486.4
Indonesia                       ,2018,74168669.625,3893.9,2218.7,4.273,1538.3
Indonesia                       ,2019,74168669.625,4135.2,2395.6,4.268,1536.5
Indonesia                       ,2020,74168669.625,3870.6,2281.8,4.466,1607.8
Iraq                            ,2017,37552789.0,4985.5,2565.3,3.378,1216.1
Iraq                            ,2018,38433604.0,5915.9,2575.6,3.464,1247.0
Iraq                            ,2019,39309789.0,5943.5,2553.7,3.534,1272.2
Iraq                            ,2020,40222503.0,4583.7,2565.3,3.54,1274.4
Ireland                         ,2017,4807388.0,54367.0125,22068.9,2.397,862.9
Ireland                         ,2018,4867316.0,54367.0125,22204.025,2.341,842.8
Ireland                         ,2019,4934340.0,54367.0125,22204.025,2.269,816.8
Ireland                         ,2020,4985674.0,54367.0125,21401.8,2.225,801.0
Israel                          ,2017,8713300.0,40774.1,22204.025,2.436,877.0
Israel                          ,2018,8882800.0,42063.5,22204.025,2.5,900.0
Israel                          ,2019,9054000.0,43951.2,22204.025,2.454,883.4
Israel                          ,2020,9215100.0,44177.6,21870.1,2.492,897.1
Italy                           ,2017,60536709.0,32406.7,19525.9,2.885,1038.6
Italy                           ,2018,60421760.0,34622.2,20838.4,2.979,1072.4
Italy                           ,2019,59729081.0,33673.5,20142.2,3.012,1084.3
Italy                           ,2020,59449527.0,31835.0,18423.9,3.144,1131.8
Jamaica                         ,2017,2920848.0,5070.1,3969.6,5.975,2151.0
Jamaica                         ,2018,2934853.0,5360.0,4079.0,6.141,2210.8
Jamaica                         ,2019,2948277.0,5369.5,4090.9,6.398,2303.3
Jamaica                         ,2020,2961161.0,4664.5,3463.7,6.681,2405.2
Japan                           ,2017,74168669.625,38834.1,21208.7,5.529,1990.4
Japan                           ,2018,74168669.625,39727.1,21774.2,5.701,2052.4
Japan                           ,2019,74168669.625,40458.0,22068.2,5.609,2019.2
Japan                           ,2020,74168669.625,39918.2,21473.8,5.808,2090.9
Jordan                          ,2017,9785840.0,4231.5,3482.7,3.412,1228.3
Jordan                          ,2018,9965322.0,4308.2,3604.5,3.454,1243.4
Jordan                          ,2019,10101697.0,4405.5,3529.1,3.5,1260.0
Jordan                          ,2020,10203140.0,4282.8,3602.9,3.614,1301.0
Kazakhstan                      ,2017,18037776.0,9247.6,4863.1,2.391,860.8
Kazakhstan                      ,2018,18276452.0,9812.6,5112.2,2.426,873.4
Kazakhstan                      ,2019,18513673.0,9812.6,5129.9,2.537,913.3
Kazakhstan                      ,2020,18755666.0,9121.6,4829.6,2.657,956.5
Kenya                           ,2017,50221146.0,1633.5,1272.7,2.846,1024.6
Kenya                           ,2018,51392570.0,1794.1,1383.3,2.823,1016.3
Kenya                           ,2019,52573967.0,1909.3,1478.2,2.907,1046.5
Kenya                           ,2020,53771300.0,1872.1,1415.9,2.968,1068.5
Kuwait                          ,2017,4056102.0,29759.5,12884.5,3.344,1203.8
Kuwait                          ,2018,4137314.0,33399.1,13280.3,3.407,1226.5
Kuwait                          ,2019,4207077.0,32373.3,13388.3,3.468,1248.5
Kuwait                          ,2020,4270563.0,24811.8,13280.3,3.606,1298.2
Latvia                          ,2017,1942248.0,15695.1,9468.7,3.124,1124.6
Latvia                          ,2018,1927174.0,17865.0,10584.3,3.13,1126.8
Latvia                          ,2019,1913822.0,17926.8,10424.4,3.132,1127.5
Latvia                          ,2020,1900449.0,17704.0,9997.6,3.24,1166.4
Lesotho                         ,2017,2091532.0,1102.6,987.1,3.77,1357.2
Lesotho                         ,2018,2108327.0,1192.5,975.2,3.878,1396.1
Lesotho                         ,2019,2125267.0,1153.4,951.4,4.01,1443.6
Lesotho                         ,2020,2142252.0,1050.6,880.3,4.266,1535.8
Liberia                         ,2017,4702224.0,721.1,4079.8,4.018,1446.5
Liberia                         ,2018,4818976.0,710.3,4079.8,4.031607121,1451.4
Liberia                         ,2019,4937374.0,672.3,4079.8,3.847,1384.9
Liberia                         ,2020,5057677.0,601.1,4079.8,3.903,1405.1
Lithuania                       ,2017,2828403.0,16885.4,10503.3,3.003,1081.1
Lithuania                       ,2018,2801543.0,19186.2,11791.1,3.042,1095.1
Lithuania                       ,2019,2794137.0,19575.8,11797.9,3.039,1094.0
Lithuania                       ,2020,2794885.0,20232.3,11882.0,3.099,1115.6
Luxembourg                      ,2017,596336.0,54367.0125,22204.025,2.492,897.1
Luxembourg                      ,2018,607950.0,54367.0125,22204.025,2.627,945.7
Luxembourg                      ,2019,620001.0,54367.0125,22204.025,2.6,936.0
Luxembourg                      ,2020,630419.0,54367.0125,22204.025,2.661,958.0
Madagascar                      ,2017,25570511.0,515.3,369.0,2.987,1075.3
Madagascar                      ,2018,26262313.0,518.4,370.4,3.122,1123.9
Madagascar                      ,2019,26969306.0,526.2,363.0,3.154,1135.4
Madagascar                      ,2020,27691019.0,477.6,341.8,3.181,1145.2
Malawi                          ,2017,17670193.0,506.1,4079.8,2.724,980.6
Malawi                          ,2018,18143215.0,544.6,4079.8,2.787,1003.3
Malawi                          ,2019,18628749.0,591.8,4079.8,2.989,1076.0
Malawi                          ,2020,19129955.0,636.3,4079.8,3.149,1133.6
Malaysia                        ,2017,31104655.0,10259.3,5682.8,3.224,1160.6
Malaysia                        ,2018,31528033.0,11380.1,6535.1,3.319,1194.8
Malaysia                        ,2019,31949789.0,11432.8,6831.5,3.412,1228.3
Malaysia                        ,2020,32365998.0,10412.3,6334.1,3.538,1273.7
Maldives                        ,2017,496398.0,9577.3,4505.7,3.581,1289.2
Maldives                        ,2018,515704.0,10279.1,4835.7,3.634,1308.2
Maldives                        ,2019,530957.0,10561.6,4935.4,3.662,1318.3
Maldives                        ,2020,540542.0,6924.1,3515.5,3.861,1390.0
Mali                            ,2017,18512429.0,830.0,629.7,2.9,1044.0
Mali                            ,2018,19077755.0,894.8,669.0,3.035,1092.6
Mali                            ,2019,19658023.0,879.0,650.3,2.96,1065.6
Mali                            ,2020,20250834.0,862.5,633.1,3.053,1099.1
Malta                           ,2017,467999.0,28857.0,13133.7,3.494,1257.8
Malta                           ,2018,484630.0,31573.1,14551.7,3.629,1306.4
Malta                           ,2019,504062.0,31185.6,14138.8,3.698,1331.3
Malta                           ,2020,515332.0,28946.5,12816.6,3.769,1356.8
Mauritania                      ,2017,4282582.0,1587.9,929.3,3.451,1242.4
Mauritania                      ,2018,4403312.0,1669.8,959.7,3.574,1286.6
Mauritania                      ,2019,4525698.0,1743.3,960.9,3.6541,1315.5
Mauritania                      ,2020,4649660.0,1702.5,969.3,3.692,1329.1
Mauritius                       ,2017,1264613.0,10484.9,7846.4,3.313,1192.7
Mauritius                       ,2018,1265303.0,11208.3,8489.1,3.396,1222.6
Mauritius                       ,2019,1265711.0,11097.2,8419.9,3.439,1238.0
Mauritius                       ,2020,1265740.0,8632.8,6327.1,3.604,1297.4
Mexico                          ,2017,74168669.625,9287.8,6057.5,2.993,1077.5
Mexico                          ,2018,74168669.625,9687.0,6274.9,3.071,1105.6
Mexico                          ,2019,74168669.625,9950.2,6456.1,3.075,1107.0
Mexico                          ,2020,74168669.625,8431.7,5321.0,3.293,1185.5
Moldova                         ,2017,2755158.0,3509.7,3005.3,2.46,885.6
Moldova                         ,2018,2708214.0,4230.6,3586.9,2.571,925.6
Moldova                         ,2019,2664974.0,4492.1,3783.7,2.687,967.3
Moldova                         ,2020,2620495.0,4525.8,3694.3,2.814,1013.0
Mongolia                        ,2017,3113788.0,3687.1,2074.5,4.544,1635.8
Mongolia                        ,2018,3170214.0,4156.8,2409.1,4.667,1680.1
Mongolia                        ,2019,3225166.0,4404.8,2522.3,4.901,1764.4
Mongolia                        ,2020,3278292.0,4061.0,2455.7,5.103,1837.1
Montenegro                      ,2017,622373.0,7803.4,5836.6,3.397,1222.9
Montenegro                      ,2018,622227.0,8850.4,6499.7,3.414,1229.0
Montenegro                      ,2019,622028.0,8909.9,6359.5,3.509,1263.2
Montenegro                      ,2020,621306.0,7694.6,6249.9,3.494,1257.8
Morocco                         ,2017,35581257.0,3035.5,1785.0,2.71,975.6
Morocco                         ,2018,36029089.0,3227.0,1901.3,2.752,990.7
Morocco                         ,2019,36471766.0,3235.0,1883.5,2.759,993.2
Morocco                         ,2020,36910558.0,3058.7,1812.2,2.797,1006.9
Mozambique                      ,2017,28649007.0,461.4,298.7,3.031,1091.2
Mozambique                      ,2018,29496009.0,503.3,330.1,2.988,1075.7
Mozambique                      ,2019,30366043.0,506.8,327.7,3.057,1100.5
Mozambique                      ,2020,31255435.0,448.8,290.9,3.228,1162.1
Myanmar                         ,2017,53382521.0,1151.1,642.1,3.706,1334.2
Myanmar                         ,2018,53708318.0,1250.2,697.8,3.786,1363.0
Myanmar                         ,2019,54045422.0,1271.1,662.3,3.861,1390.0
Myanmar                         ,2020,54409794.0,1450.7,742.3,4.186,1507.0
Namibia                         ,2017,2402623.0,5367.1,3789.6,3.255,1171.8
Namibia                         ,2018,2448300.0,5588.4,3893.1,3.3,1188.0
Namibia                         ,2019,2494524.0,5028.3,3542.1,3.378,1216.1
Namibia                         ,2020,2540916.0,4157.0,2867.0,3.52,1267.2
Nepal                           ,2017,27632682.0,1048.5,823.0,4.127,1485.7
Nepal                           ,2018,28095712.0,1178.5,909.2,4.145,1492.2
